MapDate,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd
20220705,AK,54.78,45.22,17.90,1.27,0.00,0.00,2022-07-05,2022-07-11
20220705,AL,65.27,34.73,6.25,0.06,0.00,0.00,2022-07-05,2022-07-11
20220705,AR,57.59,42.41,13.58,0.48,0.00,0.00,2022-07-05,2022-07-11
20220705,AZ,0.00,100.00,98.48,69.79,25.90,3.01,2022-07-05,2022-07-11
20220705,CA,0.00,100.00,99.80,97.48,59.81,11.59,2022-07-05,2022-07-11
20220705,CO,1.52,98.48,82.84,44.60,5.06,0.07,2022-07-05,2022-07-11
20220705,CT,37.56,62.44,39.48,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,DC,100.00,0.00,0.00,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,DE,100.00,0.00,0.00,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,FL,76.50,23.50,0.00,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,GA,10.16,89.84,49.62,6.55,0.00,0.00,2022-07-05,2022-07-11
20220705,HI,35.59,64.41,34.66,14.43,4.11,0.00,2022-07-05,2022-07-11
20220705,IA,50.27,49.73,14.19,7.34,2.47,0.00,2022-07-05,2022-07-11
20220705,ID,32.23,67.77,45.33,16.80,3.41,0.00,2022-07-05,2022-07-11
20220705,IL,31.70,68.30,18.02,2.76,0.00,0.00,2022-07-05,2022-07-11
20220705,IN,5.73,94.27,39.22,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,KS,43.84,56.16,43.94,29.98,15.85,1.02,2022-07-05,2022-07-11
20220705,KY,18.85,81.15,55.61,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,LA,13.46,86.54,40.67,1.41,0.00,0.00,2022-07-05,2022-07-11
20220705,MA,1.99,98.01,75.66,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,MD,94.10,5.90,0.00,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,ME,25.63,74.37,35.69,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,MI,60.18,39.82,2.37,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,MN,82.97,17.03,0.51,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,MO,36.35,63.65,20.06,2.37,0.00,0.00,2022-07-05,2022-07-11
20220705,MS,24.32,75.68,23.63,9.39,0.00,0.00,2022-07-05,2022-07-11
20220705,MT,49.23,50.77,32.99,19.56,8.55,3.01,2022-07-05,2022-07-11
20220705,NC,4.95,95.05,53.27,14.14,0.00,0.00,2022-07-05,2022-07-11
20220705,ND,100.00,0.00,0.00,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,NE,12.59,87.41,76.41,43.07,8.76,0.00,2022-07-05,2022-07-11
20220705,NH,1.51,98.49,56.96,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,NJ,58.38,41.62,0.00,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,NM,0.00,100.00,98.45,94.89,57.11,11.35,2022-07-05,2022-07-11
20220705,NV,0.00,100.00,100.00,99.52,58.54,21.32,2022-07-05,2022-07-11
20220705,NY,72.92,27.08,0.00,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,OH,64.06,35.94,0.00,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,OK,35.66,64.34,31.14,14.79,5.07,0.69,2022-07-05,2022-07-11
20220705,OR,24.76,75.24,66.67,52.71,31.72,1.77,2022-07-05,2022-07-11
20220705,PA,92.05,7.95,0.00,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,PR,10.87,89.13,59.24,8.03,0.00,0.00,2022-07-05,2022-07-11
20220705,RI,0.00,100.00,92.20,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,SC,4.49,95.51,50.05,7.16,0.00,0.00,2022-07-05,2022-07-11
20220705,SD,47.92,52.08,26.33,4.94,0.31,0.00,2022-07-05,2022-07-11
20220705,TN,15.02,84.98,40.74,2.95,0.00,0.00,2022-07-05,2022-07-11
20220705,TX,2.47,97.53,86.79,66.05,45.91,16.11,2022-07-05,2022-07-11
20220705,UT,0.00,100.00,100.00,99.64,82.83,7.70,2022-07-05,2022-07-11
20220705,VA,47.79,52.21,6.39,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,VT,29.09,70.91,0.75,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,WA,63.19,36.81,8.49,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,WI,57.21,42.79,7.74,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,WV,94.23,5.77,0.00,0.00,0.00,0.00,2022-07-05,2022-07-11
20220705,WY,12.85,87.15,59.52,26.19,3.64,0.00,2022-07-05,2022-07-11
